"agency","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"DEPARTMENT OF PROBATION",2024,847,747,100,67014.4591700135,64068.17,60870,55255.5,0.0439649772079606,2946.28917001345,0.118063754427391,FALSE
"DEPARTMENT OF PROBATION",2025,836,728,108,79352.282967033,80804.9722222222,70653,68321,-0.0183068363110952,-1452.68925518918,0.129186602870813,FALSE
"DEPARTMENT OF SANITATION",2014,8300,8022,278,66346.3793318371,61484.690647482,69339,69339,0.0732773775044892,4861.68868435507,0.0334939759036145,FALSE
"DEPARTMENT OF SANITATION",2015,8574,8285,289,67889.0121907061,63249.4775086505,72153,72153,0.0683399939451574,4639.53468205557,0.0337065547002566,FALSE
"DEPARTMENT OF SANITATION",2016,8758,8452,306,68285.7456223379,65493.6013071895,73235,73235,0.0408891239262535,2792.1443151484,0.0349394839004339,FALSE
"DEPARTMENT OF SANITATION",2017,8883,8550,333,70611.0709941521,69238.7447447447,75066,75066,0.0194350011986218,1372.32624940731,0.0374873353596758,FALSE
"DEPARTMENT OF SANITATION",2018,8851,8513,338,73116.7046869492,70620.0650887574,77318,77318,0.0341459534983319,2496.63959819183,0.038187775392611,FALSE
"DEPARTMENT OF SANITATION",2019,9161,8794,367,73341.6480554917,70438.3051771117,77318,77318,0.0395865508255723,2903.34287837996,0.0400611286977404,FALSE
"DEPARTMENT OF SANITATION",2020,8984,8614,370,74442.0231901555,71429.1351351351,77318,77318,0.0404729469445534,3012.88805502038,0.0411843276936776,FALSE
"DEPARTMENT OF SANITATION",2021,8426,8079,347,81082.2345290259,77120.8242074928,83465,83465,0.0488566989371141,3961.4103215331,0.0411820555423689,FALSE
"DEPARTMENT OF SANITATION",2022,8757,8386,371,79479.6986358216,76367.436657682,83465,83465,0.0391579489046649,3112.26197813966,0.0423661071143086,FALSE
"DEPARTMENT OF SANITATION",2023,9101,8712,389,78866.1454315887,76592.9383033419,83465,83465,0.0288236113963326,2273.20712824677,0.042742555763103,FALSE
"DEPARTMENT OF SANITATION",2024,9066,8666,400,84205.9201477035,82094.0025,88979,88979,0.0250803939200356,2111.91764770346,0.0441208912420031,FALSE
"DEPARTMENT OF SANITATION",2025,8957,8560,397,86880.7290887857,86038.5919395466,92093,92093,0.00969302580758193,842.137149239134,0.044322875962934,FALSE
"DEPARTMENT OF TRANSPORTATION",2014,3260,2942,318,60413.0135961931,62433.4716981132,54849.5,56528,-0.0334440873190836,-2020.45810192007,0.0975460122699387,FALSE
"DEPARTMENT OF TRANSPORTATION",2015,3263,2940,323,63081.4030612245,65542.8328173375,57437,58923,-0.039019895510631,-2461.42975611298,0.0989886607416488,FALSE
"DEPARTMENT OF TRANSPORTATION",2016,3382,3041,341,65270.3581058862,67333.8768328446,58873,60593,-0.0316149441621076,-2063.51872695836,0.100827912477824,FALSE
"DEPARTMENT OF TRANSPORTATION",2017,3550,3186,364,67558.9174513497,70875.7417582418,60893.5,63929,-0.0490952850048345,-3316.8243068921,0.102535211267606,FALSE
"DEPARTMENT OF TRANSPORTATION",2018,3627,3250,377,68423.8966153848,71886.649867374,60191,65241,-0.0506073670643694,-3462.75325198924,0.103942652329749,FALSE
"DEPARTMENT OF TRANSPORTATION",2019,3715,3308,407,72103.1904474003,76342.8206388207,63381,68827,-0.0587994812034463,-4239.63019142042,0.109555854643338,FALSE
"DEPARTMENT OF TRANSPORTATION",2020,3868,3444,424,73920.9221835084,77925.9716981133,65745,69937,-0.0541801887246799,-4005.04951460486,0.109617373319545,FALSE
"DEPARTMENT OF TRANSPORTATION",2021,3889,3466,423,74156.4688401617,78412.7541371158,65640,70926,-0.0573960082447863,-4256.28529695416,0.108768320905117,FALSE
"DEPARTMENT OF TRANSPORTATION",2022,3684,3284,400,75211.3099878197,79213.385,65896,72000,-0.0532110797276154,-4002.07501218027,0.1085776330076,FALSE
"DEPARTMENT OF TRANSPORTATION",2023,3803,3386,417,78660.6077968104,83712.7194244604,69785.5,73638,-0.0642267046893437,-5052.11162765003,0.109650276097818,FALSE
"DEPARTMENT OF TRANSPORTATION",2024,3903,3460,443,87553.8751445088,90356.158013544,75558,81150,-0.0320063830916677,-2802.28286903519,0.113502434025109,FALSE
"DEPARTMENT OF TRANSPORTATION",2025,3868,3426,442,91717.2317571514,94404.2398190045,78769,83061,-0.0292966546239401,-2687.00806185314,0.114270941054809,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2014,1489,1368,121,53834.1893274854,52865.958677686,43761.5,50969,0.017985422682033,968.230649799414,0.0812625923438549,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2015,1517,1380,137,57639.0427536232,57613.8102189781,47557.5,53794,0.00043776810716519,25.2325346450671,0.0903098220171391,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2016,1682,1520,162,59087.176131579,59469.8950617284,48920,55141.5,-0.00647719107945152,-382.718930149444,0.0963139120095125,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2017,1786,1605,181,61432.3272274143,61594.8729281768,50763,57590,-0.00264593102847567,-162.545700762486,0.101343784994401,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2018,1874,1679,195,62387.6310839787,63642.8508717949,50763,58000,-0.0201196898488827,-1255.21978781617,0.104055496264674,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2019,1938,1728,210,64589.7142013889,65725.4785714286,52921,59305,-0.0175842916179876,-1135.76437003969,0.108359133126935,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2020,1989,1757,232,67524.6624587365,68092.661637931,56650,60482.5,-0.00841172926323882,-567.999179194478,0.116641528406234,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2021,1839,1624,215,69030.6843349753,69387.1465116279,57590,62433.5,-0.00516382214788426,-356.462176652552,0.116911364872213,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2022,1645,1453,192,70717.4724982794,72813.8747916667,61800,65970,-0.0296447570780793,-2096.40229338725,0.116717325227964,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2023,1661,1473,188,73356.6694840462,76227.1462765957,61866,67008.5,-0.0391304132635663,-2870.47679254957,0.113184828416616,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2024,1661,1459,202,81091.0009252913,83176.443069307,68094,75972.5,-0.0257173067321857,-2085.44214401567,0.121613485851896,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2025,1690,1490,200,83798.2780872483,87126.6325,70424,79789,-0.0397186492219601,-3328.35441275168,0.118343195266272,FALSE
"DEPT OF ED PARA PROFESSIONALS",2014,20544,18055,2489,30464.8060924952,31097.6838087585,31715,33088,-0.0207740602169546,-632.877716263341,0.121154595015576,FALSE
"DEPT OF ED PARA PROFESSIONALS",2015,22033,19332,2701,31904.8678874405,32568.1592002962,33329,34772,-0.0207896586563448,-663.291312855665,0.122588844006717,FALSE
"DEPT OF ED PARA PROFESSIONALS",2016,23869,20895,2974,32815.9646805456,33473.4414929388,33309,35442,-0.0200352730384007,-657.476812393244,0.124596757300264,FALSE
"DEPT OF ED PARA PROFESSIONALS",2017,24903,21764,3139,34297.2160448447,35048.9776999044,36062,37623,-0.0219190284738209,-751.761655059738,0.126049070393125,FALSE
"DEPT OF ED PARA PROFESSIONALS",2018,25127,21933,3194,36141.2605206766,36964.9179711961,37872,39510,-0.0227899480719068,-823.657450519473,0.127114259561428,FALSE
"DEPT OF ED PARA PROFESSIONALS",2019,25397,22112,3285,37919.2179359624,38634.5832572298,39830,41500,-0.0188655083149535,-715.365321267433,0.129345985746348,FALSE
"DEPT OF ED PARA PROFESSIONALS",2020,25701,22344,3357,38903.6312209101,39633.6178135241,40825,42537,-0.0187639706038968,-729.986592613997,0.130617485700946,FALSE
"DEPT OF ED PARA PROFESSIONALS",2021,25142,21825,3317,40643.9875372281,41482.6412420862,42433,44944,-0.0206341394059818,-838.653704858152,0.131930633998886,FALSE
"DEPT OF ED PARA PROFESSIONALS",2022,23366,20172,3194,40206.9789311918,40591.0457107076,42049,43814,-0.00955224166861915,-384.066779515822,0.136694342206625,FALSE
"DEPT OF ED PARA PROFESSIONALS",2023,23636,20321,3315,40100.2976231485,40580.1381598793,42049,43814,-0.0119660093608349,-479.840536730859,0.140252157725503,FALSE
"DEPT OF ED PARA PROFESSIONALS",2024,24286,20801,3485,42214.066391039,42777.0444763271,43126,45017,-0.0133362675860973,-562.978085288174,0.143498311784567,FALSE
"DEPT OF ED PARA PROFESSIONALS",2025,24994,21333,3661,43247.0961421272,43836.4944004371,44420,45947,-0.013628620436684,-589.398258309833,0.146475154036969,FALSE
"DEPT OF ED PEDAGOGICAL",2014,87176,81490,5686,76990.4782059127,76409.0833626451,75796,75796,0.00755151619804947,581.394843267524,0.0652243736808296,FALSE
"DEPT OF ED PEDAGOGICAL",2015,89681,83833,5848,80555.2477663928,80211.4586183311,79654,79801,0.00426774366157605,343.789148061711,0.0652089071263701,FALSE
"DEPT OF ED PEDAGOGICAL",2016,91613,85540,6073,83123.3141148002,82327.6769306768,82434,82434,0.00957176927552027,795.637184123465,0.0662897187080436,FALSE
"DEPT OF ED PEDAGOGICAL",2017,93356,86974,6382,86716.7049578033,85509.461297399,86185,86185,0.0139216966441681,1207.24366040436,0.0683619692360427,FALSE
"DEPT OF ED PEDAGOGICAL",2018,94686,88041,6645,91126.6307061487,89278.0075244545,92272,90511,0.0202863111185945,1848.6231816942,0.0701793295735378,FALSE
"DEPT OF ED PEDAGOGICAL",2019,94969,88149,6820,93937.8613257089,91620.5086510266,96083,92322,0.0246689954612369,2317.35267468222,0.0718129073697733,FALSE
"DEPT OF ED PEDAGOGICAL",2020,95470,88503,6967,96924.7764030592,94302.3187885746,98486,94630,0.027056627952167,2622.45761448455,0.072975803917461,FALSE
"DEPT OF ED PEDAGOGICAL",2021,94087,87084,7003,101287.440815765,98238.3572754534,101441,97469,0.0301032735722621,3049.08354031127,0.0744311116307248,FALSE
"DEPT OF ED PEDAGOGICAL",2022,93986,86673,7313,101052.369284553,97034.7236428278,101441,97469,0.0397580548597692,4017.6456417249,0.0778094609835507,FALSE
"DEPT OF ED PEDAGOGICAL",2023,93524,86120,7404,101708.515176498,97614.6173689898,101441,97469,0.0402512788669037,4093.89780750792,0.079166844874043,FALSE
"DEPT OF ED PEDAGOGICAL",2024,94281,86638,7643,107994.859288074,103773.086222687,107619,103406,0.0390923521102559,4221.77306538694,0.0810661745208473,FALSE
"DEPT OF ED PEDAGOGICAL",2025,96161,88159,8002,111712.43728944,107025.886403399,110848,106509,0.041951916901593,4686.550886041,0.0832146088331028,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2014,3887,3439,448,65622.761011922,62817.1116071428,58200,58216,0.0427542115192229,2805.64940477913,0.115255981476717,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2015,3934,3472,462,68481.8968894009,65665.8376623377,60880,59888,0.0411212211544203,2816.05922706326,0.117437722419929,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2016,4054,3584,470,70917.0421316965,68453.5872340426,63631,62172,0.034737135441706,2463.45489765391,0.115934879131722,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2017,4120,3647,473,73373.2433452153,71333.754756871,66250,64274,0.0277960806332167,2039.48858834423,0.114805825242718,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2018,4185,3678,507,74082.2394562262,71287.2606706114,66817,64274,0.0377280547420043,2794.97878561477,0.121146953405018,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2019,4198,3669,529,77819.6790842192,74324.6597353496,69464,66791,0.0449117676916559,3495.01934886967,0.126012386850881,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2020,4200,3660,540,79736.9252896183,76857.7259259258,71486.5,69045,0.0361087332278587,2879.19936369253,0.128571428571429,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2021,4001,3488,513,80980.1283142201,78468.2631578947,73603,69153,0.0310182906425979,2511.86515632535,0.128217945513622,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2022,3769,3290,479,81111.902224924,79534.4517745303,74080.5,70554,0.0194478295678421,1577.45045039379,0.12708941363757,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2023,3912,3412,500,85447.728845252,86369.606,78341.5,77465.5,-0.0107887847600666,-921.877154747956,0.127811860940695,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2024,3938,3423,515,92477.9111364302,92373.2058252428,82841,81266,0.00113221968252522,104.705311187485,0.130777044184865,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2025,3905,3383,522,96470.2411528229,95105.6992337165,85995,82394,0.0141446927342578,1364.54191910643,0.133674775928297,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2014,4180,3655,525,63339.2648426813,61239.2628571429,56937,54900,0.0331548209590732,2100.00198553842,0.125598086124402,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2015,4233,3693,540,66511.1955050095,64005.7777777778,59202,57390,0.0376691128194046,2505.41772723168,0.127569099929128,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2016,4381,3798,583,68835.1987888362,66731.653516295,62626,59589,0.0305591515613139,2103.54527254122,0.133074640493038,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2017,5058,4373,685,70940.6153670249,70030.4321167883,64738,64334,0.0128302136304798,910.18325023663,0.135429023329379,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2018,5326,4588,738,71531.504795118,71266.7777777778,65000,65000,0.00370084507656352,264.727017340192,0.138565527600451,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2019,5378,4612,766,74621.0329575026,73465.2663185378,67792,67479,0.015488483516745,1155.76663896476,0.142432130903682,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2020,5439,4673,766,77305.9054140802,76297.590078329,70349,70000,0.013043186420885,1008.31533575115,0.140834712263284,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2021,5195,4449,746,77549.8841694764,76547.254691689,70554,70554,0.0129288326929832,1002.62947778738,0.143599615014437,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2022,4878,4192,686,79117.4639002863,78224.2930029155,72000,72242,0.0112891750233111,893.17089737083,0.140631406314063,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2023,5078,4352,726,84949.8299632353,84247.8829201102,77097,77097,0.00826307767100786,701.947043125125,0.142969673099646,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2024,5238,4467,771,89561.9572419967,88162.2970168612,81612,81265,0.0156278432075084,1399.66022513549,0.147193585337915,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2025,5316,4524,792,93579.8230548189,91948.6575757576,85536.5,84426.5,0.0174307390825667,1631.16547906131,0.148984198645598,FALSE
"DEPT OF INFO TECH & TELECOMM",2014,1112,994,118,74491.5593561368,76582.3983050847,70000,80163,-0.0280681323766071,-2090.83894894793,0.106115107913669,FALSE
"DEPT OF INFO TECH & TELECOMM",2015,1223,1097,126,77862.9781221513,81438.3492063492,72797,86860.5,-0.045918755876366,-3575.37108419789,0.103025347506132,FALSE
"DEPT OF INFO TECH & TELECOMM",2016,1364,1213,151,81837.3487221764,82577.8543046358,79641,90000,-0.00904850406350775,-740.505582459315,0.110703812316716,FALSE
"DEPT OF INFO TECH & TELECOMM",2017,1473,1312,161,86091.6394817073,86277.4223602484,84304.5,92700,-0.00215796655354206,-185.782878541126,0.109300746775289,FALSE
"DEPT OF INFO TECH & TELECOMM",2018,1486,1319,167,87749.8711144807,88518.6047904192,87731,95018,-0.00876051059876264,-768.733675938463,0.112382234185734,FALSE
"DEPT OF INFO TECH & TELECOMM",2019,1533,1356,177,91115.2160766963,94978.186440678,91499,101592,-0.0423965450592806,-3862.97036398175,0.11545988258317,FALSE
"DEPT OF INFO TECH & TELECOMM",2020,1667,1471,196,95373.2134602318,95720.5714285715,94244,101489,-0.00364209148184456,-347.357968339653,0.117576484703059,FALSE
"DEPT OF INFO TECH & TELECOMM",2021,1624,1426,198,95626.2194950912,97513.3232323232,94244,103497,-0.019734166499481,-1887.10373723204,0.12192118226601,FALSE
"DEPT OF INFO TECH & TELECOMM",2022,1517,1341,176,97951.2073079791,102104.164772727,95000,106156.5,-0.0423982264117518,-4152.95746474813,0.116018457481872,FALSE
"DEPT OF PARKS & RECREATION",2014,3334,3109,225,54492.4979092957,53373.4844444445,50757,51156,0.0205351838837316,1119.01346485125,0.0674865026994601,FALSE
"DEPT OF PARKS & RECREATION",2015,3528,3282,246,57349.6783638025,56944.3170731707,54719,55000,0.00706824000058654,405.361290631801,0.0697278911564626,FALSE
"DEPT OF PARKS & RECREATION",2016,3719,3453,266,59369.5079640892,58618.6203007519,56375,56375,0.0126476989465957,750.887663337315,0.0715246033880075,FALSE
"DEPT OF PARKS & RECREATION",2017,3773,3503,270,62180.1541535826,60762.5407407407,59742,59527.5,0.0227984866254988,1417.61341284191,0.0715610919692552,FALSE
"DEPT OF PARKS & RECREATION",2018,3773,3484,289,63319.5470723308,62779.2249134948,60571,61800,0.00853326000924698,540.322158835952,0.0765968725152399,FALSE
"DEPT OF PARKS & RECREATION",2019,3719,3436,283,66607.3984284044,66098.070671378,65000,65495,0.0076467144648182,509.327757026389,0.0760957246571659,FALSE
"DEPT OF PARKS & RECREATION",2020,3884,3586,298,66712.5476854434,66045.2818791946,62215,62522.5,0.0100021034932583,667.265806248732,0.0767250257466529,FALSE
"DEPT OF PARKS & RECREATION",2021,3638,3352,286,69146.552804296,68167.3391608392,66388,67164,0.0141614238706631,979.213643456824,0.0786146234194612,FALSE
"DEPT OF PARKS & RECREATION",2022,3363,3094,269,70329.8251454428,70116.2899628253,68457,69093,0.00303619669430323,213.535182617517,0.079988105857865,FALSE
"DEPT OF PARKS & RECREATION",2023,3983,3628,355,72352.5176405733,69134.1802816901,67983,59054,0.0444813458305756,3218.33735888316,0.0891287973889028,FALSE
"DEPT OF PARKS & RECREATION",2024,3875,3512,363,77361.5677676538,73241.0027548209,71299.5,67447,0.0532637216609739,4120.56501283289,0.0936774193548387,FALSE
"DEPT OF PARKS & RECREATION",2025,4176,3782,394,77780.3098889476,74552.2944162436,72298,66467,0.0415017049599415,3228.01547270392,0.0943486590038314,FALSE
"DEPT OF RECORDS & INFO SERVICE",2014,38,35,3,,,,,,,0.0789473684210526,TRUE
"DEPT OF RECORDS & INFO SERVICE",2015,42,38,4,,,,,,,0.0952380952380952,TRUE
"DEPT OF RECORDS & INFO SERVICE",2016,45,41,4,,,,,,,0.0888888888888889,TRUE
"DEPT OF RECORDS & INFO SERVICE",2017,46,43,3,,,,,,,0.0652173913043478,TRUE
"DEPT OF RECORDS & INFO SERVICE",2018,60,54,6,,,,,,,0.1,TRUE
"DEPT OF RECORDS & INFO SERVICE",2019,58,53,5,,,,,,,0.0862068965517241,TRUE
"DEPT OF RECORDS & INFO SERVICE",2020,58,51,7,,,,,,,0.120689655172414,TRUE
"DEPT OF RECORDS & INFO SERVICE",2021,51,44,7,,,,,,,0.137254901960784,TRUE
"DEPT OF RECORDS & INFO SERVICE",2022,52,45,7,,,,,,,0.134615384615385,TRUE
"DEPT OF RECORDS & INFO SERVICE",2023,48,42,6,,,,,,,0.125,TRUE
"DEPT OF RECORDS & INFO SERVICE",2024,48,43,5,,,,,,,0.104166666666667,TRUE
"DEPT OF RECORDS & INFO SERVICE",2025,49,43,6,,,,,,,0.122448979591837,TRUE
"DEPT OF YOUTH & COMM DEV SRVS",2014,376,351,25,,,,,,,0.0664893617021277,TRUE
"DEPT OF YOUTH & COMM DEV SRVS",2015,445,404,41,73953.0866336634,72182.7804878049,66488,64000,0.0239382320122477,1770.30614585849,0.0921348314606742,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2016,472,425,47,78106.1929411765,76528.3404255319,71587,66758,0.0202013752844524,1577.85251564455,0.0995762711864407,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2017,482,431,51,80020.102088167,81483.8823529412,72868,70000,-0.0182926568021784,-1463.78026477412,0.105809128630705,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2018,478,428,50,81003.3481308411,83810.04,74880,75390.5,-0.0346490846850594,-2806.69186915887,0.104602510460251,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2019,478,423,55,85028.5130023641,89642.2545454546,77070,80061,-0.0542611105402038,-4613.74154309044,0.115062761506276,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2020,545,488,57,86071.213114754,90641.8421052632,77878,82148,-0.0531028763869686,-4570.62899050921,0.104587155963303,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2021,488,436,52,87081.7660550459,92505.4230769231,78624,82049.5,-0.0622823498830839,-5423.65702187722,0.10655737704918,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2022,447,402,45,88014.2985074627,94585.2666666667,78114.5,88351,-0.0746579620656391,-6570.96815920399,0.100671140939597,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2023,467,413,54,94205.5617433414,95174.2777777778,85000,85432,-0.0102830025797796,-968.716034436366,0.115631691648822,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2024,528,464,64,104251.049568965,103930.71875,92700,92812,0.00307268675269853,320.330818965478,0.121212121212121,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2025,558,491,67,107482.610997963,106133.641791045,95713,94649,0.0125505809208914,1348.96920691863,0.120071684587814,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2014,1176,969,207,72869.4551083591,72802.0289855072,68137,70648,0.000925300220121357,67.4261228518881,0.176020408163265,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2015,1176,980,196,76711.2591836735,77127.6785714286,71071.5,73066.5,-0.00542839984881532,-416.419387755086,0.166666666666667,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2016,1349,1116,233,76894.9492473118,76550.2961373391,71129,73348,0.00448212936410561,344.653109972787,0.172720533728688,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2017,1322,1081,241,80338.0212765957,78377.4979253112,75480,75326,0.0244034309052078,1960.52335128452,0.182299546142209,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2018,1326,1090,236,80723.4201834862,78420.1694915254,76104.5,76080,0.0285326202324611,2303.2506919608,0.177978883861237,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2019,1284,1042,242,87046.999040307,84427.5330578512,81872,83151,0.0300925478343358,2619.46598245582,0.188473520249221,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2020,1242,1005,237,91733.5721393034,89275.0928270042,85646,85847,0.0268002134329389,2458.47931229923,0.190821256038647,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2021,1195,964,231,92986.8713692946,89832.6493506494,86099.5,85847,0.0339211543758509,3154.22201864523,0.193305439330544,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2022,1081,865,216,93971.3287398844,89478.537037037,87013,85659.5,0.047810239177138,4492.79170284733,0.199814986123959,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2023,1035,826,209,100416.214285714,97204.5933014354,93903,93518,0.0319830916463435,3211.62098427887,0.201932367149758,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2024,1061,848,213,106480.408018868,103196.981220657,97986.5,96668,0.0308359712298342,3283.42679821083,0.200754005655042,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2025,1101,872,229,109008.808486239,106521.668122271,99835,99761,0.0228159577056738,2487.14036396792,0.207992733878292,FALSE
"DEPT. OF HOMELESS SERVICES",2014,1748,1576,172,54149.1085025381,53596.8779069767,47093,49612.5,0.0101983321763354,552.230595561312,0.0983981693363844,FALSE
"DEPT. OF HOMELESS SERVICES",2015,1851,1658,193,55143.5189143547,51449.4093264249,47740,47703,0.0669908206922241,3694.1095879298,0.104267963263101,FALSE
"DEPT. OF HOMELESS SERVICES",2016,2254,2017,237,54621.7585523054,52257.0675105485,48896,48895,0.0432921074756769,2364.69104175688,0.105146406388642,FALSE
"DEPT. OF HOMELESS SERVICES",2017,2181,1935,246,52092.5638242894,50493.6544715447,46737,46610.5,0.0306936198828277,1598.90935274468,0.112792297111417,FALSE
"DEPT. OF HOMELESS SERVICES",2018,2230,1942,288,53327.6678681771,50148.6770833333,46737,45799,0.0596124096913831,3178.99078484378,0.12914798206278,FALSE
"DEPT. OF HOMELESS SERVICES",2019,2161,1873,288,56778.4030966361,52602.1076388888,50763,46737,0.0735542958233486,4176.29545774731,0.133271633503008,FALSE
"DEPT. OF HOMELESS SERVICES",2020,1972,1722,250,61012.4541231128,57029.268,55853,50251.5,0.0652848042315327,3983.18612311278,0.126774847870183,FALSE
"DEPT. OF HOMELESS SERVICES",2021,1845,1616,229,62173.3669554455,58701.4847161572,57750,54100,0.0558419530628973,3471.88223928828,0.124119241192412,FALSE
"DEPT. OF HOMELESS SERVICES",2022,1672,1461,211,63629.5160848734,60431.9952606635,58879,58741,0.0502521631619013,3197.52082420988,0.126196172248804,FALSE
"DEPT. OF HOMELESS SERVICES",2023,1631,1415,216,67281.8035335689,65168.087962963,64327,64188,0.0314158577742547,2113.71557060595,0.132434089515635,FALSE
"DEPT. OF HOMELESS SERVICES",2024,1653,1413,240,72659.3021939137,69234.8916666667,67679,67092.5,0.0471296919162247,3424.41052724702,0.14519056261343,FALSE
"DEPT. OF HOMELESS SERVICES",2025,1621,1391,230,76301.9151689431,73211.2043478261,72298,72298,0.0405063334815877,3090.71082111703,0.14188772362739,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2015,1025,889,136,68675.8155230596,61599,61800,54784.5,0.103046690733267,7076.81552305962,0.132682926829268,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2016,1041,908,133,69297.4372246696,63554.2030075188,61800,57920,0.0828780175308739,5743.2342171508,0.12776176753122,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2017,1046,903,143,70720.0177187154,64614.7762237762,61800,59994,0.0863297506403691,6105.24149493918,0.136711281070746,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2018,1074,931,143,69864.7432867884,64773.0629370629,61800,62669,0.0728791105525793,5091.68034972542,0.133147113594041,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2019,1086,932,154,76050.4946351932,69077.935064935,70300,65917,0.0916832902100751,6972.55957025818,0.141804788213628,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2020,1122,961,161,77592.6982310093,71328.8304347826,70300,65847,0.0807275418825861,6263.86779622667,0.14349376114082,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2021,1120,960,160,78147.2822916667,72906.641875,70300,69384.5,0.0670610706218448,5240.6404166667,0.142857142857143,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2022,1101,933,168,80392.5359056806,77492.5398809524,72005,72000,0.0360729512019697,2899.99602472821,0.152588555858311,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2023,1134,967,167,89462.2926577043,83566.1419161677,79319,80770,0.0659065463937541,5896.15074153659,0.147266313932981,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2024,1247,1065,182,92208.6544600941,85132.1906593406,81013,81780,0.0767440306139163,7076.4638007535,0.145950280673617,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2025,1277,1087,190,94503.4949402023,86753.8315789474,88323,84350.5,0.0820039869018451,7749.66336125493,0.148786217697729,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2015,630,535,95,77384.3495327103,62473.5368421053,64579,54569,0.192685120190902,14910.812690605,0.150793650793651,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2016,630,538,92,78777.9776951673,64257.9673913043,66500,57920,0.184315600992556,14520.0103038629,0.146031746031746,FALSE
